pipeline,readout,contrast,bird_id,panel_count,mean_contribution,sign
birdnet,centroid,B_minus_C,ty70023,12,0.49796589668659158,positive
birdnet,centroid,B_minus_C,ty70082,12,0.77141493928974558,positive
birdnet,centroid,B_minus_C,ty70093,12,0.60660523364664221,positive
birdnet,centroid,B_minus_C,ty70118,12,0.99603174603174605,positive
birdnet,centroid,B_minus_C,ty70233,12,0.62269177189224523,positive
birdnet,centroid,B_minus_C,ty70249,12,0.54995186118296002,positive
birdnet,centroid,B_minus_C,ty70291,12,0.19805331605902252,positive
birdnet,centroid,B_minus_C,ty70575,12,0.78530746313141886,positive
birdnet,centroid,B_minus_C,ty70701,12,0.013645224171539969,positive
birdnet,centroid,B_minus_C,ty70791,12,0.73652261736315694,positive
birdnet,centroid,B_minus_C,ty70988,12,0.28031928583399174,positive
birdnet,centroid,B_minus_C,vb55885,12,0.51419423575466727,positive
birdnet,centroid,B_minus_C,vs83969,12,0.64139751717151094,positive
birdnet,centroid,B_minus_C,vs84180,12,0.10965596696717976,positive
