panel,pipeline,m_exposed,added_clips,selected_c,val_macro_f1,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,B_minus_A
panel010,perch,10,1024,10.0,0.9859584660319113,0.9943784695383318,0.9647296523037338,0.9471145987822518,0.8197676171748481,0.12734698160740365,-0.01761505352148196
panel010,perch,20,1990,1.0,0.9881805083823206,0.9953153912819432,0.9850044255356603,0.950053561945579,0.8587034278654893,0.09135013408008974,-0.03495086359008126
panel010,perch,0,0,10.0,,0.9981261565127771,0.20059812090448306,0.9599349493391282,0.1524635027637242,0.8074714465754039,0.7593368284346451
panel011,perch,1,107,10.0,0.984953922617127,0.9981261565127771,0.5792648291086386,0.9347308391923899,0.45087825091256106,0.4838525882798288,0.3554660100837512
panel011,perch,2,213,1.0,0.9829114070371748,0.9990630782563886,0.7383235692516739,0.927166605478802,0.5944281127481281,0.3327384927306739,0.18884303622712817
panel011,perch,5,529,10.0,0.9850675473623118,0.9990630782563886,0.9036623893071473,0.9338581890935449,0.7599398372290661,0.1739183518644788,0.030195799786397637
panel011,perch,10,1041,1.0,0.9864831172556283,0.9971892347691659,0.9588144653492249,0.9364028028402802,0.8523868067347685,0.08401599610551169,-0.022411662508944663
panel011,perch,20,2014,1.0,0.9878817175688553,0.9981261565127771,0.9792514504646677,0.9350718797231767,0.9095387893229622,0.025533090400214564,-0.044179570741490926
panel011,perch,0,0,1.0,,0.9981261565127771,0.24331504958179984,0.9384466984073476,0.2010876262508541,0.7373590721564935,0.6951316488255478
panel012,perch,1,107,10.0,0.9829867499125191,0.9953153912819432,0.4989486445214878,0.9663603393928037,0.40789563428855224,0.5584647051042515,0.46741169487131595
panel012,perch,2,213,10.0,0.9830371502301004,0.9934296943150854,0.705613656413056,0.9643810559484547,0.5684705290559862,0.39591052689246853,0.25876739953539873
panel012,perch,5,524,10.0,0.9838863217640226,0.9934273520107263,0.865848114191243,0.9552770279199794,0.7630189359734096,0.19225809194656973,0.0894289137287364
panel012,perch,10,1008,10.0,0.9829371472709413,0.9952630798179248,0.9356513085329683,0.955982716362505,0.8521667101545198,0.10381600620798515,0.020331407829536685
panel012,perch,20,1907,1.0,0.9863338211312437,0.9943238157699544,0.9623542467166155,0.956386958375723,0.886455051921936,0.069931906453787,-0.0059672883408925514
panel012,perch,0,0,10.0,,0.9953177335863022,0.1950081628467159,0.9660333456805795,0.19000614515980446,0.7760272005207751,0.7710251828338637
